2025-07-15 08:46:22,346 INFO    MainThread:3346433 [wandb_setup.py:_flush():76] Current SDK version is 0.17.6
2025-07-15 08:46:22,347 INFO    MainThread:3346433 [wandb_setup.py:_flush():76] Configure stats pid to 3346433
2025-07-15 08:46:22,347 INFO    MainThread:3346433 [wandb_setup.py:_flush():76] Loading settings from /home/yhmoon/.config/wandb/settings
2025-07-15 08:46:22,347 INFO    MainThread:3346433 [wandb_setup.py:_flush():76] Loading settings from /home/yhmoon/01.Source/mcts_2/wandb/settings
2025-07-15 08:46:22,347 INFO    MainThread:3346433 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'_require_core': 'true'}
2025-07-15 08:46:22,347 INFO    MainThread:3346433 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2025-07-15 08:46:22,347 INFO    MainThread:3346433 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': '/home/yhmoon/01.Source/mcts_2/main.py', 'program': '/home/yhmoon/01.Source/mcts_2/main.py'}
2025-07-15 08:46:22,347 INFO    MainThread:3346433 [wandb_setup.py:_flush():76] Applying login settings: {}
2025-07-15 08:46:22,347 INFO    MainThread:3346433 [wandb_init.py:_log_setup():521] Logging user logs to /home/yhmoon/01.Source/mcts_2/wandb/run-20250715_084622-ucs4qnex/logs/debug.log
2025-07-15 08:46:22,347 INFO    MainThread:3346433 [wandb_init.py:_log_setup():522] Logging internal logs to /home/yhmoon/01.Source/mcts_2/wandb/run-20250715_084622-ucs4qnex/logs/debug-internal.log
2025-07-15 08:46:22,348 INFO    MainThread:3346433 [wandb_init.py:init():559] calling init triggers
2025-07-15 08:46:22,348 INFO    MainThread:3346433 [wandb_init.py:init():566] wandb.init called with sweep_config: {}
config: {}
2025-07-15 08:46:22,348 INFO    MainThread:3346433 [wandb_init.py:init():609] starting backend
2025-07-15 08:46:22,348 INFO    MainThread:3346433 [wandb_init.py:init():613] setting up manager
2025-07-15 08:46:22,350 INFO    MainThread:3346433 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-07-15 08:46:22,351 INFO    MainThread:3346433 [wandb_init.py:init():621] backend started and connected
2025-07-15 08:46:22,354 INFO    MainThread:3346433 [wandb_init.py:init():716] updated telemetry
2025-07-15 08:46:22,354 INFO    MainThread:3346433 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2025-07-15 08:46:22,724 INFO    MainThread:3346433 [wandb_run.py:_on_init():2438] communicating current version
2025-07-15 08:46:22,725 INFO    MainThread:3346433 [wandb_run.py:_on_init():2447] got version response 
2025-07-15 08:46:22,726 INFO    MainThread:3346433 [wandb_init.py:init():800] starting run threads in backend
2025-07-15 08:46:22,960 INFO    MainThread:3346433 [wandb_run.py:_console_start():2416] atexit reg
2025-07-15 08:46:22,960 INFO    MainThread:3346433 [wandb_run.py:_redirect():2258] redirect: wrap_raw
2025-07-15 08:46:22,960 INFO    MainThread:3346433 [wandb_run.py:_redirect():2323] Wrapping output streams.
2025-07-15 08:46:22,960 INFO    MainThread:3346433 [wandb_run.py:_redirect():2348] Redirects installed.
2025-07-15 08:46:22,962 INFO    MainThread:3346433 [wandb_init.py:init():843] run started, returning control to user process
2025-07-15 08:46:24,816 WARNING MsgRouterThr:3346433 [router.py:message_loop():77] message_loop has been closed
